,Description,Key,Status,Title
0,,2005JJ00,Definitief,2005
1,,2006JJ00,Definitief,2006
2,,2007JJ00,Definitief,2007
3,,2008JJ00,Definitief,2008
4,,2009JJ00,Definitief,2009
5,,2010JJ00,Definitief,2010
6,,2011JJ00,Definitief,2011
7,,2012JJ00,Definitief,2012
8,,2013JJ00,Definitief,2013
9,,2014JJ00,Definitief,2014
10,.,2015JJ00,Definitief,2015
11,Voorlopige cijfers,2016JJ00,Voorlopig,2016
